ASV	SRR20752627	SRR20752628	SRR20752629	SRR20752630	SRR20752631	SRR20752632	SRR20752633	SRR20752634	SRR20752635	SRR20752636	SRR20752637	SRR20752638	SRR20752639	SRR20752640	SRR20752641	SRR20752642	SRR20752643	SRR20752644	SRR20752645	SRR20752646	SRR20752647	SRR20752648	SRR20752649	SRR20752650	SRR20752651	SRR20752652	SRR20752653	SRR20752654	SRR20752655	SRR20752657	SRR20752658	SRR20752659	SRR20752660	SRR20752661	SRR20752662	SRR20752663	SRR20752664	SRR20752665	SRR20752667	SRR20752668	SRR20752669	SRR20752670	SRR20752671	SRR20752672	SRR20752673	SRR20752674	SRR20752675	SRR20752677	SRR20752678	SRR20752679	SRR20752680	SRR20752681	SRR20752682	SRR20752683	SRR20752685	SRR20752686	SRR20752687	SRR20752688	SRR20752689	SRR20752690	SRR20752691	SRR20752692	SRR20752694	SRR20752695	SRR20752697	SRR20752698
bf5b5e67314720aa0a348ebf6a92084a	29	483	180	436	138	128	791	0	229	31	103	100	182	152	95	693	15	432	0	22	832	45	27	12	21	0	10	4	194	284	170	0	0	562	167	5	754	427	269	109	242	1656	135	76	1588	89	0	16	1043	814	734	608	508	1395	195	0	421	182	203	193	7	0	0	0	0	0
5413343cdba902bd8725849d3ef07a80	74	0	0	0	0	237	428	0	58	315	0	55	352	325	89	0	246	140	0	605	0	413	2269	622	611	1584	642	1579	314	0	1539	0	0	0	0	0	0	123	0	1542	1209	0	0	2646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16851bc2a3175d4f4a6cf77fed2d845f	39	0	0	188	80	131	175	0	101	113	162	177	215	175	307	0	86	157	0	294	113	298	156	223	290	350	162	385	298	600	217	0	0	69	41	0	48	122	239	351	284	423	301	396	1046	425	0	621	1007	139	539	764	862	806	687	0	39	1840	459	679	0	0	0	0	0	0
486bd0fb8af30b4e8930fa7bd1997d71	74	0	0	382	151	118	507	0	39	501	204	277	301	559	303	1020	244	449	0	560	338	215	54	592	798	691	623	639	120	372	359	0	0	0	167	0	0	8	292	335	97	1130	330	165	5	1037	0	256	1813	380	292	31	29	0	0	0	0	8	12	0	9	2	51	577	0	0
d033750d186ab6c9362517634aa1e2fd	1000	858	1265	777	596	747	593	0	450	257	694	631	588	198	268	99	143	238	0	584	282	111	0	7	28	208	16	226	264	17	22	12	77	1411	1127	0	1074	1333	15	15	0	15	42	15	110	106	0	0	330	9	368	0	10	0	0	0	0	0	0	0	142	13	0	11	0	0
c857e55be7a61a069167b4e8f687901e	141	59	23	242	367	414	596	0	188	365	93	93	771	572	963	0	1082	243	7	539	117	367	789	229	234	485	307	506	255	252	847	0	0	102	23	0	103	369	107	700	1107	159	1062	1245	0	376	0	460	212	116	60	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0fa5b56bd7b41a692c5bd7bfb4a43f6f	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	0	0	0	794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	16281	0
9457b33aefc94261893b1cb4bf2621c3	0	0	0	0	0	0	0	6219	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	20	0	0	10	0	798	0	16	0	9	0	0	0	0	0	0	909	0	0	0	0	0	0	0	0	4453	0	0	0	0	368	0	0	0	0	4131
f1be3fcefbeaa6e631b36dad6a4bbb9a	1300	617	622	293	657	271	65	0	1235	10	1545	1000	0	0	0	5355	0	75	0	0	586	0	0	0	0	0	4	0	0	0	0	0	0	373	1522	0	1012	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	17	3	0	0	0	0
c5b2b0f9f2feb5dfad506feab64b32ed	114	245	100	217	23	1189	550	0	78	124	328	233	173	51	50	0	17	317	0	837	67	581	138	644	700	68	627	54	348	230	532	0	0	185	251	47	358	17	621	429	29	293	317	2364	794	481	0	674	13	330	227	34	141	0	0	0	0	0	159	0	0	0	0	16	0	0
