"file","genome","n_ribosomal_proteins","total_ribosomal_gene_len","n_reads_mapped","Filename","ReadCount","dataset","normalized_reads_per_kB_per_M"
"ERR3275123_1","Megasphaera_elsdenii_2410",31,13602,7,"ERR3275123_1.fastq",135618561,"Adult",0.0037946885562439
"ERR3275123_1","10676_min2k_bin.2753",42,18609,12,"ERR3275123_1.fastq",135618561,"Adult",0.0047548747142654
"ERR3275123_1","Pseudoramibacter_alactolyticus_ATCC23263",44,18396,4,"ERR3275123_1.fastq",135618561,"Adult",0.00160330984195413
"ERR3275123_1","10674_0003_idba_bin.96",41,18645,30,"ERR3275123_1.fastq",135618561,"Adult",0.0118642348562302
"ERR3275123_1","10677_0023_idba_bin.239",41,18483,3,"ERR3275123_1.fastq",135618561,"Adult",0.00119682226313051
"ERR3275123_1","malmuthuge.79",28,12450,10,"ERR3275123_1.fastq",135618561,"Adult",0.00592258792220648
"ERR3275123_1","malmuthuge.34",41,17973,4,"ERR3275123_1.fastq",135618561,"Adult",0.00164104422481435
"ERR3275123_1","malmuthuge.164",43,18489,19,"ERR3275123_1.fastq",135618561,"Adult",0.00757741453295442
"ERR3275123_1","10676_min2k_bin.3406",41,18084,9,"ERR3275123_1.fastq",135618561,"Adult",0.00366968578126098
"ERR3275123_1","10676_min2k_bin.3258",23,9531,3,"ERR3275123_1.fastq",135618561,"Adult",0.00232093860974097
"ERR3275123_1","malmuthuge.158",35,15363,4,"ERR3275123_1.fastq",135618561,"Adult",0.00191983908433172
"ERR3275123_1","Megasphaera_hexanoica_MH",42,17547,1,"ERR3275123_1.fastq",135618561,"Adult",0.000420221232298801
"ERR3201414_1","10678_0051_idba_bin.51",43,20247,132,"ERR3201414_1.fastq",56313694,"Adult",0.115770852610992
"ERR3201414_1","10674_0009_idba_bin.117",37,20709,185,"ERR3201414_1.fastq",56313694,"Adult",0.15863484320634
"ERR3201414_1","10676_0049_idba_bin.70",39,19470,164,"ERR3201414_1.fastq",56313694,"Adult",0.149576676729398
"ERR3201414_1","10677_0019_idba_bin.37",23,9222,3,"ERR3201414_1.fastq",56313694,"Adult",0.00577673067569341
"ERR3201414_1","malmuthuge.79",28,12450,3,"ERR3201414_1.fastq",56313694,"Adult",0.00427895664989917
"ERR3201414_1","10678_min2k_bin.2957",37,16101,13,"ERR3201414_1.fastq",56313694,"Adult",0.0143376008485225
"ERR3201414_1","10675_0017_idba_bin.63",18,10164,10,"ERR3201414_1.fastq",56313694,"Adult",0.0174711433462038
"ERR3201414_1","10677_0034_idba_bin.198",42,18354,18,"ERR3201414_1.fastq",56313694,"Adult",0.017415171719923
"ERR3201414_1","10677_0019_idba_bin.218",40,17688,52,"ERR3201414_1.fastq",56313694,"Adult",0.052204819371791
"ERR3201414_1","10677_0023_idba_bin.13",41,18111,3,"ERR3201414_1.fastq",56313694,"Adult",0.00294147260180247
"ERR3201414_1","10676_min2k_bin.3258",23,9531,1,"ERR3201414_1.fastq",56313694,"Adult",0.00186314868293794
"ERR3201414_1","10678_0024_idba_bin.135",41,17709,3,"ERR3201414_1.fastq",56313694,"Adult",0.00300824497663587
"ERR3201414_1","10674_min2k_bin.1792",42,18066,3,"ERR3201414_1.fastq",56313694,"Adult",0.00294879941831311
"ERR3201414_1","Ruminococcaceae_CPB6",41,18129,8,"ERR3201414_1.fastq",56313694,"Adult",0.00783613882600542
"ERR3201414_1","malmuthuge.158",35,15363,1,"ERR3201414_1.fastq",56313694,"Adult",0.00115587255725324
"ERR3201414_1","10676_min2k_bin.3406",41,18084,1,"ERR3201414_1.fastq",56313694,"Adult",0.000981954772012914
"ERR3201414_1","Megasphaera_hexanoica_MH",42,17547,2,"ERR3201414_1.fastq",56313694,"Adult",0.00202401209290267
"ERR3201414_1","malmuthuge.34",41,17973,5,"ERR3201414_1.fastq",56313694,"Adult",0.00494009628250196
"ERR3201414_1","10677_0023_idba_bin.239",41,18483,1,"ERR3201414_1.fastq",56313694,"Adult",0.000960756917009227
"ERR3201414_1","10676_min2k_bin.2753",42,18609,2,"ERR3201414_1.fastq",56313694,"Adult",0.00190850342276119
"ERR3201414_1","10677_min2k_bin.3664",29,11922,1,"ERR3201414_1.fastq",56313694,"Adult",0.00148948751024002
"ERR3201414_1","malmuthuge.128",41,18225,1,"ERR3201414_1.fastq",56313694,"Adult",0.000974357755669769
"ERR3201414_1","malmuthuge.164",43,18489,2,"ERR3201414_1.fastq",56313694,"Adult",0.00192089026957451
"ERR3201414_1","10674_0003_idba_bin.96",41,18645,1,"ERR3201414_1.fastq",56313694,"Adult",0.000952409230200136
"SRR5190267_1","Megasphaera_elsdenii_2410",31,13602,26,"SRR5190267_1.fastq",22982778,"Calf",0.0831702592851114
"SRR5190267_1","Megasphaera_hexanoica_MH",42,17547,12,"SRR5190267_1.fastq",22982778,"Calf",0.0297560889250256
"SRR5190267_1","malmuthuge.79",28,12450,1,"SRR5190267_1.fastq",22982778,"Calf",0.003494846669126
"SRR5190281_1","10674_0003_idba_bin.96",41,18645,579,"SRR5190281_1.fastq",22429806,"Calf",1.38449266348367
"SRR5190281_1","Megasphaera_elsdenii_2410",31,13602,1060,"SRR5190281_1.fastq",22429806,"Calf",3.47438208864594
"SRR5190281_1","10678_0024_idba_bin.135",41,17709,108,"SRR5190281_1.fastq",22429806,"Calf",0.271896865059249
